"Page","Source","Review priority","Status","Direct imports","Next acceptance checks"
"VehicleReservations","src/pages/VehicleReservations.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/vehicleReservations; ../lib/vehicleReservations; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client; ../lib/useLatestRequest","Exercise primary action, denied access, scope change, error/retry and filtered export."
"VehicleWashing","src/pages/VehicleWashing.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; react-router-dom; ../components/ui/DownloadNotice; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/DateField; ../components/ui/Modal; ../components/ui/NotInUseNotice; ../components/checklist/ReferencePicker; ../contexts/SettingsContext; ../contexts/AuthContext; ../hooks/useReportMeta; ../lib/api/washRecords; ../lib/api/assets; ../lib/washAnalytics; ../lib/reportColors; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/storageRefs; ../lib/washReportPdf; ../lib/safeUrl; ../lib/safeError; ../lib/api/washRecords; ../lib/washDetails; ../components/washing/WashDetailsForm; ../components/washing/WashRecordViewer; ../components/washing/WashAdvancedFilters; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"VendorIntelligence","src/pages/VendorIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/supabase; ../lib/fetchAll; ../lib/countryFilter; ../lib/tyrePositions; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/kpiEngine; ../lib/exportUtils; ../lib/api/governedCost; ../lib/safeError; lucide-react; ../components/EmailReportModal; ../components/ui/PageHeader; ../components/ui/PeriodFilter; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"VideoTelematics","src/pages/VideoTelematics.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/dashcamEvents; ../lib/dashcamEvents; ../lib/safeUrl; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"WarrantyTracker","src/pages/WarrantyTracker.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/Skeleton; ../components/workflow/EntityApprovalPanel; ../lib/api/warranty; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/TenantContext; ../lib/formatters; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/NotInUseNotice; ../components/EmptyState; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Weighbridge","src/pages/Weighbridge.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/weighbridgeTickets; ../lib/weighbridgeTickets; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkflowBuilder","src/pages/WorkflowBuilder.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/api/workflows; ../lib/workflow/starterTemplates; ../contexts/LanguageContext; ../contexts/SettingsContext; ../lib/safeError; ../lib/api/sites","Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkflowSettings","src/pages/WorkflowSettings.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/api/workflows; ../lib/workflow/starterTemplates; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkOrders","src/pages/WorkOrders.jsx","P1 candidate","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api; ../lib/useLatestRequest; ../lib/audit; ../lib/events; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/DateField; ../components/ui/StatusBadge; ../components/CustomFieldsPanel; ../components/workflow/EntityApprovalPanel; ../components/workorders/WorkOrderApprovalGate; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/TenantContext; ../lib/exportUtils; ../contexts/LanguageContext; ../lib/formatters; ../lib/safeError; ../lib/workOrderStatus; ../lib/jobCard; ../components/workorders/JobCardForm; ../components/workorders/JobCardDetail; ../lib/api/assets; ../lib/pdfEngine; ../lib/defaultPeriod; ../lib/api/latestActivity; ../components/ui/PeriodNotice","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopAbsence","src/pages/WorkshopAbsence.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/workshopAbsence; ../lib/workshopAbsence; ../lib/reportColors; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError; ../lib/useLatestRequest; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopAnalytics","src/pages/WorkshopAnalytics.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/TablePagination; ../components/ui/DateField; ../components/charts/EChart; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/workshopAnalytics; ../lib/workshopAnalytics; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../lib/useLatestRequest; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopJobDetail","src/pages/WorkshopJobDetail.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; ../lib/supabase; ../lib/safeError; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../lib/formatters; ../components/ui/Skeleton; ../components/EmptyState; ../components/workflow/EntityApprovalPanel; lucide-react","Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopLive","src/pages/WorkshopLive.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/supabase; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/workshopLive; ../lib/api/workshopConfig; ../lib/workshopLive; ../lib/workshopTasks; ../lib/workshopAssign; ../components/charts/EChart; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/workshop/WorkshopTvShareButton; ../components/workshop/WorkshopNewJobModal; ../lib/reportColors; ../lib/safeUrl; ../lib/safeError; ../lib/workOrderStatus","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopManagement","src/pages/WorkshopManagement.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; ../lib/supabase; ../lib/countryFilter; ../lib/fetchAll; ../lib/safeError; ../lib/useLatestRequest; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/api/maintenanceAnalytics; ../lib/workOrderStatus; ../lib/formatters; ../components/ui/PageHeader; ../components/ui/TablePagination; lucide-react; ../components/ui/Skeleton; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopSettings","src/pages/WorkshopSettings.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/api/workshopConfig; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"WorkshopTv","src/pages/WorkshopTv.jsx","P2 workflow review","Not end-to-end verified","react; ../components/ui/TablePagination; react-router-dom; lucide-react; ../lib/api/reportShares; ../lib/reportColors; ../components/charts/EChart","Exercise primary action, denied access, scope change, error/retry and filtered export."
